Wall time,Step,Value
1696206503.094242,49,0.6007991433143616
1696206503.26007,99,0.5339666604995728
1696206503.4808729,149,0.493350625038147
1696206503.6577046,199,0.45470502972602844
1696206503.8771737,249,0.42899107933044434
1696206504.0317414,299,0.42502743005752563
1696206504.2820768,349,0.4210662245750427
1696206504.4525516,399,0.3947417140007019
1696206504.607432,449,0.39704430103302
1696206504.8242357,499,0.37428998947143555
1696206504.9810517,549,0.3943162262439728
1696206505.1984372,599,0.3651084005832672
1696206505.353874,649,0.3752756118774414
1696206505.570435,699,0.3922731876373291
1696206505.7295306,749,0.3727681636810303
1696206505.94702,799,0.36905473470687866
1696206506.1042056,849,0.34911370277404785
1696206506.265682,899,0.3849260210990906
1696206506.483775,949,0.37865594029426575
1696206506.641393,999,0.3850100040435791
1696206506.8604355,1049,0.3386073112487793
1696206507.0206099,1099,0.373727023601532
1696206507.2571054,1149,0.3712593615055084
1696206507.4159403,1199,0.34336382150650024
1696206507.6378276,1249,0.34565386176109314
1696206507.7914557,1299,0.3614121675491333
1696206507.948833,1349,0.33802473545074463
1696206508.1694431,1399,0.3354404866695404
1696206508.338088,1449,0.359466552734375
1696206508.5569744,1499,0.35724619030952454
1696206508.7162397,1549,0.36523276567459106
1696206508.9323075,1599,0.36231961846351624
1696206509.0936117,1649,0.3382001519203186
1696206509.3187041,1699,0.35621559619903564
1696206509.4735296,1749,0.3522350490093231
1696206509.6321247,1799,0.35811981558799744
1696206509.854369,1849,0.3644119203090668
1696206510.0101511,1899,0.35303372144699097
1696206510.2329345,1949,0.33257514238357544
1696206510.3908153,1999,0.3416147530078888
1696206510.6147354,2049,0.3569467067718506
1696206510.772262,2099,0.33446210622787476
1696206510.9927464,2149,0.33535730838775635
1696206511.1574748,2199,0.35160478949546814
1696206511.3232071,2249,0.3411320447921753
1696206511.5422878,2299,0.3654841184616089
1696206511.7010536,2349,0.3583948016166687
1696206511.9305613,2399,0.35358667373657227
1696206512.0890672,2449,0.3300350308418274
1696206512.3081589,2499,0.35201406478881836
1696206512.4674342,2549,0.3567342162132263
1696206512.6858325,2599,0.34403595328330994
1696206512.842453,2649,0.3570573329925537
1696206513.0106862,2699,0.3338836133480072
1696206513.2356713,2749,0.3473685383796692
1696206513.405799,2799,0.35051429271698
1696206513.6239758,2849,0.3475509285926819
1696206513.7773945,2899,0.32426881790161133
1696206513.9908059,2949,0.3539840579032898
1696206514.1544979,2999,0.3597322106361389
1696206514.3085232,3049,0.34125471115112305
1696206514.5424745,3099,0.36749041080474854
